ID,X,Y,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,POP_0p5,POP_1p0,POP_2p0,POP_closest
0,-123.1197879,45.53525028,Forest Grove High,1401 NICHOLS LN,FOREST GROVE,97116,Washington,6533,7000,10007,15614
1,-122.9926707,45.54213986,Glencoe High,2700 NW GLENCOE RD,HILLSBORO,97124,Washington,0,0,10905,11068
2,-122.9852634,45.52145514,Hillsboro Central/SE 3rd Ave Transit Center,333 SE Washington,Hillsboro,97123,Washington,0,4487,10302,10101
3,-122.9814054,45.5210248,Miller Education Center Options Program,215 SE 6TH AVE,HILLSBORO,97123,Washington,0,15945,12822,13725
4,-122.9576402,45.49469928,Hillsboro High,3285 SE ROOD BRIDGE RD,HILLSBORO,97123,Washington,2060,3237,10100,7300
5,-122.9151952,45.50443392,Century High,2000 SE CENTURY BLVD,HILLSBORO,97123,Washington,4534,13860,29737,38754
6,-122.9021747,45.56199255,Liberty High,7445 NE WAGON DR,HILLSBORO,97124,Washington,0,109,4274,2920
7,-122.8792671,45.5299326,Oregon Graduate Institute School of Science & Engineering,20000 NW WALKER RD,BEAVERTON,97006,Washington,6746,16963,21012,31264
8,-122.8715426,45.3568654,Sherwood High,18800 SW HAIDE RD,SHERWOOD,97140,Washington,0,2773,8311,12660
9,-122.8701584,45.51741284,Willow Creek/SW 185th Ave Transit Center,395 SW 185th Ave,Hillsboro,97006,Washington,2142,9853,19421,12138
10,-122.8699758,45.51775109,Portland Community College - Willow Creek Center,241 SW EDGEWAY DR,BEAVERTON,97006,Washington,2142,9853,17714,4284
11,-122.8687157,45.48476344,Aloha High,18550 SW KINNAMAN RD,ALOHA,97007,Washington,5542,17902,32280,38270
12,-122.8657374,45.55042852,Westview High,4200 NW 185TH AVE,PORTLAND,97229,Washington,3244,13323,16613,18076
13,-122.8595994,45.56679738,Portland Community College - Rock Creek,17705 NW SPRINGVILLE RD,PORTLAND,97229,Washington,0,9736,16085,16271
14,-122.8586075,45.42901945,Mountainside High,12500 SW 175TH AVE,BEAVERTON,97007,Washington,0,0,25035,25966
15,-122.8481989,45.50626952,Merlo Station Community High,1841 SW MERLO DR,BEAVERTON,97006,Washington,3723,13391,17320,16245
16,-122.820411,45.52802721,Sunset High,13840 NW CORNELL RD,PORTLAND,97229,Washington,5608,14342,27908,34537
17,-122.8109488,45.48555149,Beaverton High,13000 SW 2ND ST,BEAVERTON,97005,Washington,3050,9947,22876,27891
18,-122.8079893,45.45014728,Southridge High,9625 SW 125TH AVE,BEAVERTON,97008,Washington,7391,14761,32611,40506
19,-122.8011388,45.49108395,Beaverton Transit Center,4050 SW Lombard Ave,Beaverton,97005,Washington,4894,8148,20243,17828
20,-122.7811878,45.51019311,Sunset Transit Center,10470 SW Barnes Rd,Portland,97225,Washington,0,10605,29550,33795
21,-122.7787944,45.45245831,Washington Square Transit Center,9585 SW Washington Square Rd,Tigard,97223,Washington,0,12784,19561,25723
22,-122.772464,45.35900743,Tualatin High,22300 SW BOONES FERRY RD,TUALATIN,97062,Washington,2120,5170,12250,15400
23,-122.7693656,45.43026538,Tigard Transit Center,8960 SW Commercial St,Tigard,97223,Washington,0,8851,23044,20218
24,-122.7681942,45.40326026,Tigard High,9000 SW DURHAM RD,TIGARD,97224,Washington,0,12244,34092,35072
25,-122.7663427,45.32173749,Oregon Institute of Technology,27500 SW PARKWAY AVE,WILSONVILLE,97070,Clackamas,4758,6442,5519,7882
26,-122.7586703,45.30401705,Arts & Technology High School,29796 SW TOWN CENTER LOOP E,WILSONVILLE,97070,Clackamas,1226,4544,4597,2981
27,-122.7474489,45.30714512,Wilsonville High,6800 SW WILSONVILLE RD,WILSONVILLE,97070,Clackamas,1226,2165,4597,2817
28,-122.7383105,45.58904896,Roosevelt High,6941 N CENTRAL ST,PORTLAND,97203,Multnomah,5288,24122,29349,37975
29,-122.7307382,45.43811277,Portland Community College - Sylvania,12000 SW 49TH AVE,PORTLAND,97219,Multnomah,3524,11336,17068,9279
30,-122.7176766,45.45441873,Barbur Blvd Transit Center,9750 SW Barbur Blvd,Portland,97219,Multnomah,0,12738,19423,20711
31,-122.707491,45.5688245,Portland Community College - Swan Island Trades Center ,6400 N CUTTER CIR,PORTLAND,97217,Multnomah,3297,1154,12679,6761
32,-122.7021482,45.42732413,Lake Oswego High,2501 COUNTRY CLUB RD,LAKE OSWEGO,97034,Clackamas,0,10474,13796,10474
33,-122.6940654,45.3976723,Lakeridge High,1235 OVERLOOK DR,LAKE OSWEGO,97034,Clackamas,3940,6560,10161,12192
34,-122.6897867,45.47725671,Ida B. Wells High,1151 SW VERMONT ST,PORTLAND,97219,Multnomah,2322,15734,12547,20945
35,-122.6889689,45.51884674,Lincoln High,1600 SW SALMON ST,PORTLAND,97205,Multnomah,8463,15744,12424,40423
36,-122.6858175,45.49904342,Oregon Health & Science University,3181 SW SAM JACKSON PARK RD,PORTLAND,97239,Multnomah,0,7405,13484,14920
37,-122.6846332,45.45422941,Riverdale High,9727 SW TERWILLIGER BLVD,PORTLAND,97219,Multnomah,0,13447,11616,18318
38,-122.6844367,45.57787989,Alliance High at Kenton,7528 N FENWICK AVE,PORTLAND,97217,Multnomah,3359,8476,11709,7430
39,-122.6843366,45.5007993,Shriners Hospital,3101 SW SAM JACKSON PARK RD,PORTLAND,97239,Multnomah,0,8745,14056,4629
40,-122.6842846,45.51182025,Portland State University,1825 SW BROADWAY,PORTLAND,97201,Multnomah,8647,6679,12855,11253
41,-122.6820904,45.57711666,N Lombard Transit Center,N Interstate Ave & Lombard St,Portland,97217,Multnomah,3359,8476,9115,7695
42,-122.6745074,45.51744778,Portland Community College - Downtown Center,722 SW 2ND AVE,PORTLAND,97204,Multnomah,3613,10941,16799,1786
43,-122.6735126,45.56341942,Portland Community College - Cascade,705 N KILLINGSWORTH ST,PORTLAND,97217,Multnomah,3008,12572,12812,15439
44,-122.6720472,45.56040018,Jefferson High,5210 N KERBY AVE,PORTLAND,97217,Multnomah,3008,11562,13880,9760
45,-122.6700865,45.54407682,Legacy Emanuel Hospital,2801 N GANTENBEIN AVE,PORTLAND,97227,Multnomah,4931,13362,17802,14954
46,-122.6679325,45.42037931,Lake Oswego Transit Center,4th St and A Ave,Lake Oswego,97034,Clackamas,2466,6601,12052,15125
47,-122.6661184,45.53020888,Rose Quarter Transit Center,47 NE Holladay St,Portland,97232,Multnomah,7994,17789,17888,20580
48,-122.6653898,45.51129672,Portland Community College - CLIMB Center,1626 SE WATER AVE,PORTLAND,97214,Multnomah,4872,5770,16386,7924
49,-122.6389702,45.49855207,Cleveland High,3400 SE 26TH AVE,PORTLAND,97202,Multnomah,9292,21679,21892,32943
50,-122.6382603,45.44147651,Milwaukie High,11300 SE 23RD AVE,MILWAUKIE,97222,Clackamas,4355,8244,26126,30642
51,-122.6267384,45.53902203,Grant High,2245 NE 36TH AVE,PORTLAND,97212,Multnomah,2916,15561,20828,15488
52,-122.6220878,45.55857112,Alliance High at Meek,4039 NE ALBERTA CT,PORTLAND,97211,Multnomah,5038,10266,15927,19370
53,-122.6206396,45.53328034,Hollywood/NE 42nd Ave Transit Center,1410 NE 42nd Ave,Portland,97232,Multnomah,8404,18302,21373,32689
54,-122.6188694,45.56340142,PCC - Metropolitan Workforce Training Center,5600 NE 42ND AVE,PORTLAND,97218,Multnomah,1591,10266,14557,11697
55,-122.6163695,45.36403222,West Linn High,5464 WEST A ST,WEST LINN,97068,Clackamas,3242,7065,13970,23527
56,-122.6097947,45.40026798,Rex Putnam High,4950 SE ROETHE RD,MILWAUKIE,97267,Clackamas,4347,16444,21851,26313
57,-122.6069783,45.50295343,Franklin High,5405 SE WOODWARD ST,PORTLAND,97206,Multnomah,5004,15558,25209,14354
58,-122.6043179,45.36013852,Oregon City Transit Center,1035 Main St,Oregon City,97045,Clackamas,3831,5452,13303,12090
59,-122.5993758,45.48997215,Mt. Scott Learning Center,6148 SE HOLGATE BLVD,PORTLAND,97206,Multnomah,0,22914,41293,47299
60,-122.5970928,45.38713481,Gladstone High,18800 PORTLAND AVE,GLADSTONE,97027,Clackamas,10384,10384,14216,11509
61,-122.5822288,45.43187018,Clackamas Community College Harmony Campus,7738 SE HARMONY RD,MILWAUKIE,97222,Clackamas,0,7716,17141,5196
62,-122.5807791,45.54136731,McDaniel High,2735 NE 82ND AVE,PORTLAND,97220,Multnomah,5684,16975,15836,19626
63,-122.5801726,45.5066174,Portland Community College - Southeast,2305 SE 82ND AVE,PORTLAND,97216,Multnomah,0,14253,26905,21743
64,-122.579494,45.4361099,Clackamas Middle College,12021 SE 82ND AVE,HAPPY VALLEY,97086,Clackamas,0,5360,15309,16702
65,-122.5742459,45.3230622,Clackamas Community College,19600 MOLALLA AVE,OREGON CITY,97045,Clackamas,1713,6467,8435,11134
66,-122.5723228,45.49369012,Benson Polytechnic High,3905 SE 91ST AVE,PORTLAND,97266,Multnomah,4399,18787,31440,39274
67,-122.5683275,45.43568997,Clackamas Town Center Transit Center,9225 SE Sunnyside Rd,Clackamas,97015,Clackamas,0,11185,14438,15175
68,-122.5644016,45.55901043,Parkrose/Sumner Transit Center,9481 NE Sandy Blvd,Portland,97220,Multnomah,1949,3493,8506,6857
69,-122.5634613,45.5303886,Gateway/NE 99th Ave Transit Center,9900 NE Multnomah,Portland,97220,Multnomah,0,18163,18439,15511
70,-122.5603427,45.31960995,Oregon City High,19761 BEAVERCREEK RD,OREGON CITY,97045,Clackamas,1996,1854,4161,283
71,-122.558355,45.55470869,Mt. Hood Community College Maywood Campus,10100 NE PRESCOTT ST,PORTLAND,97220,Multnomah,1959,3493,9130,1959
72,-122.5391689,45.552912,Parkrose High,12003 NE SHAVER ST,PORTLAND,97220,Multnomah,4617,8780,17024,23965
73,-122.534493,45.41837135,Clackamas High - West Campus,14486 SE 122ND AVE,CLACKAMAS,97015,Clackamas,6416,9942,22834,38074
74,-122.5263224,45.51537159,David Douglas High,1001 SE 135TH AVE,PORTLAND,97233,Multnomah,8807,21613,53558,61701
75,-122.4776611,45.49663195,Centennial High,3505 SE 182ND AVE,GRESHAM,97030,Multnomah,7087,10583,39387,56484
76,-122.440339,45.50794025,Center for Advanced Learning,1484 NW CIVIC DR,GRESHAM,97030,Multnomah,0,14088,25020,24749
77,-122.429509,45.50590588,Gresham High,1200 N MAIN AVE,GRESHAM,97030,Multnomah,3055,3075,13464,12298
78,-122.4268418,45.50283429,Gresham Central Transit Center,350 NE 8th,Gresham,97030,Multnomah,3055,3075,10750,3650
79,-122.4214251,45.50280271,Burlingame Creek School,876 NE 8TH ST,GRESHAM,97030,Multnomah,0,7116,13635,3276
80,-122.4069627,45.48631769,Springwater Trail High,1440 SE FLEMING AVE,GRESHAM,97080,Multnomah,6665,13530,17960,26331
81,-122.4021681,45.52885205,Reynolds High,1698 SW CHERRY PARK RD,TROUTDALE,97060,Multnomah,5717,12245,9626,23279
82,-122.3962575,45.51572887,Mt. Hood Community College,26000 SE STARK ST,GRESHAM,97030,Multnomah,0,9826,11350,10030
